ID,Age,Sex,Address,Frequency
1900059,61,Female,Kinki,1
1900060,67,Female,Hokkaido,3
1900061,69,Female,Tyubu,5
1900062,28,Female,Tyuugoku,1
1900063,32,Male,Kyuusyuu,3
1900064,26,Female,Kanto,2
1900065,22,Female,Tyubu,2
1900066,33,Male,Kanto,1
1900067,65,Female,Tyuugoku,5
1900068,24,Female,Kinki,1
1900069,36,Male,Kanto,1
1900070,38,Female,Hokkaido,4
1900071,45,Female,Shikoku,4
1900072,23,Female,Tyubu,7
1900073,22,Female,Kinki,2
1900074,21,Female,Tohoku,1
1900075,34,Female,Kyuusyuu,1
1900076,28,Female,Tohoku,1
1900077,25,Female,Tyubu,1
1900078,38,Female,Tyubu,1
1900079,25,Male,Tyubu,2
1900080,21,Male,Kyuusyuu,1
1900081,32,Male,Tyubu,1
1900082,43,Male,Hokkaido,1
1900083,49,Female,Kanto,1
1900084,49,Female,Hokkaido,1
1900085,63,Female,Kinki,1
1900086,29,Male,Kanto,1
1900087,25,Male,Kyuusyuu,1
1900088,29,Female,Tohoku,5
1900089,28,Female,Kyuusyuu,1
1900090,41,Female,Kanto,1
1900091,27,Female,Kyuusyuu,2
1900092,33,Female,Kinki,1
1900093,38,Female,Kyuusyuu,1
1900094,55,Female,Kanto,1
1900095,61,Female,Shikoku,2
1900096,46,Male,Tohoku,1
1900097,63,Male,Kinki,2
1900098,26,Male,Tyubu,2
1900099,21,Female,Kinki,5
1900100,25,Female,Kinki,8
1900101,32,Female,Kanto,2
1900102,43,Female,Kinki,1
1900103,22,Female,Kyuusyuu,2
1900104,34,Female,Tyuugoku,1
1900105,26,Female,Kanto,1
1900106,26,Female,Kyuusyuu,1
1900107,25,Female,Tohoku,1
1900108,33,Male,Kanto,1
1900109,32,Male,Hokkaido,1
1900110,27,Female,Kyuusyuu,1
1900111,22,Female,Kyuusyuu,2
1900112,23,Female,Hokkaido,3
1900113,53,Female,Tohoku,5
1900114,34,Female,Kanto,1
1900115,52,Female,Hokkaido,5
1900116,25,Male,Hokkaido,1
1900117,23,Female,Tyuugoku,1
1900118,27,Female,Kinki,2
1900119,23,Male,Kanto,1
1900120,47,Female,Kanto,1
1900121,27,Male,Kanto,1
1900122,29,Female,Tyubu,1
1900123,32,Male,Kanto,1
1900124,37,Female,Kanto,2
1900125,39,Female,Tohoku,1
1900126,23,Female,Hokkaido,12
1900127,39,Male,Kanto,1
1900128,48,Male,Tohoku,2
1900129,48,Male,Kanto,1
1900130,49,Female,Kyuusyuu,7
1900131,57,Female,Tyuugoku,2
1900132,63,Female,Kyuusyuu,4
1900133,24,Female,Tohoku,2
1900134,38,Female,Kanto,1
1900135,59,Female,Kinki,5
1900136,57,Female,Tohoku,1
1900137,34,Female,Shikoku,2
1900138,34,Female,Tohoku,1
1900139,35,Female,Kanto,4
1900140,53,Female,Tohoku,2
1900141,28,Female,Kyuusyuu,1
1900142,33,Female,Shikoku,1
1900143,27,Female,Kinki,1
1900144,38,Male,Kyuusyuu,1
1900145,34,Female,Tyubu,1
1900146,46,Female,Kanto,1
1900147,53,Female,Hokkaido,2
1900148,67,Female,Kanto,1
1900149,29,Female,Kanto,1
1900150,22,Female,Kyuusyuu,2
1900151,32,Female,Kanto,1
1900152,21,Female,Kinki,1
1900153,29,Female,Kyuusyuu,1
1900154,37,Female,Kinki,1
1900155,37,Female,Kyuusyuu,1
1900156,51,Female,Hokkaido,2
1900157,24,Male,Kyuusyuu,1
1900158,48,Female,Shikoku,1
1900159,51,Male,Kanto,1
1900160,57,Female,Kinki,3
1900161,38,Female,Kanto,1
1900162,25,Male,Tohoku,1
1900163,25,Female,Kanto,1
1900164,34,Female,Kanto,1
1900165,25,Female,Tyuugoku,1
1900166,32,Male,Shikoku,1
1900167,37,Female,Shikoku,3
1900168,48,Male,Kyuusyuu,1
1900169,43,Female,Tyubu,4
1900170,21,Male,Kyuusyuu,3
1900171,25,Female,Kinki,1
1900172,27,Female,Kanto,1
1900173,27,Male,Hokkaido,1
1900174,27,Male,Kanto,7
1900175,24,Female,Hokkaido,1
1900176,42,Female,Kanto,4
1900177,43,Female,Tohoku,2
1900178,21,Female,Tohoku,1
1900179,59,Male,Kyuusyuu,1
1900180,55,Female,Tohoku,3
1900181,28,Female,Kanto,1
1900182,65,Male,Kyuusyuu,2
1900183,47,Female,Shikoku,2
1900184,63,Male,Tyubu,1
1900185,44,Female,Tohoku,5
1900186,49,Male,Kyuusyuu,2
1900187,29,Female,Tohoku,2
1900188,32,Female,Tyubu,2
1900189,31,Male,Tohoku,1
1900190,64,Male,Hokkaido,1
1900191,44,Female,Kanto,2
1900192,48,Male,Kanto,5
1900193,47,Female,Shikoku,2
1900194,63,Female,Kyuusyuu,2
1900195,33,Female,Kanto,1
1900196,31,Female,Kanto,1
1900197,35,Male,Kanto,2
1900198,37,Female,Tohoku,1
1900199,23,Male,Kyuusyuu,1
1900200,32,Female,Kanto,1
1900201,43,Male,Kanto,1
1900202,27,Male,Kanto,2
1900203,21,Female,Kinki,2
1900204,28,Male,Kanto,1
1900205,39,Female,Kanto,1
1900206,35,Male,Kyuusyuu,3
1900207,58,Female,Kinki,3
1900208,65,Female,Kyuusyuu,2
1900209,22,Male,Kanto,3
1900210,31,Female,Kyuusyuu,1
1900211,53,Female,Tohoku,1
1900212,26,Male,Kanto,1
1900213,25,Female,Tyuugoku,2
1900214,33,Female,Kanto,2
1900215,23,Female,Kanto,1
1900216,24,Female,Tohoku,1
1900217,26,Male,Kanto,1
1900218,31,Male,Kinki,2
1900219,38,Female,Kyuusyuu,1
1900220,37,Female,Kyuusyuu,1
1900221,27,Female,Tyubu,1
1900222,47,Female,Kanto,1
1900223,25,Female,Kinki,1
1900224,35,Female,Kinki,1
1900225,63,Female,Tohoku,3
1900226,28,Male,Kinki,1
1900227,47,Female,Kanto,1
1900228,43,Male,Kinki,2
1900229,55,Female,Hokkaido,2
1900230,27,Female,Kanto,1
1900231,27,Female,Hokkaido,1
1900232,25,Male,Shikoku,3
1900233,37,Male,Kanto,3
1900234,23,Female,Tohoku,1
1900235,27,Female,Kanto,1
1900236,51,Female,Tohoku,1
1900237,36,Male,Tohoku,1
1900238,38,Male,Kanto,3
1900239,57,Female,Tohoku,1
1900240,22,Male,Kyuusyuu,1
1900241,24,Female,Shikoku,2
1900242,21,Male,Tohoku,5
1900243,48,Male,Hokkaido,1
1900244,29,Female,Kyuusyuu,1
1900245,29,Female,Kanto,3
1900246,28,Male,Kanto,1
1900247,36,Female,Hokkaido,1
1900248,51,Female,Kanto,4
1900249,29,Female,Kyuusyuu,2
1900250,36,Male,Kinki,1
1900251,28,Male,Kinki,2
1900252,28,Female,Kanto,2
1900253,25,Female,Tyubu,1
1900254,31,Female,Kyuusyuu,1
1900255,33,Female,Tohoku,1
1900256,24,Female,Kyuusyuu,1
1900257,37,Male,Tohoku,1
1900258,31,Male,Kanto,1
1900259,59,Female,Tohoku,3
1900260,65,Female,Kyuusyuu,2
1900261,21,Female,Kyuusyuu,6
1900262,24,Female,Tyubu,1
1900263,33,Female,Kinki,1
1900264,57,Female,Kinki,3
1900265,38,Female,Kanto,1
1900266,43,Male,Kanto,1
1900267,29,Female,Kanto,1
1900268,23,Male,Kanto,2
1900269,27,Male,Kyuusyuu,1
1900270,34,Male,Tyuugoku,1
1900271,38,Male,Kinki,1
1900272,32,Female,Kyuusyuu,1
1900273,36,Female,Tohoku,1
1900274,47,Male,Shikoku,4
1900275,45,Male,Kinki,1
1900276,63,Female,Kyuusyuu,2
1900277,66,Male,Kyuusyuu,1
1900278,28,Female,Kinki,1
1900279,28,Male,Kanto,1
1900280,32,Female,Kanto,2
1900281,47,Female,Kanto,1
1900282,22,Female,Kanto,5
1900283,24,Female,Kanto,1
1900284,34,Female,Kanto,1
1900285,62,Male,Kanto,2
1900286,67,Male,Tohoku,1
1900287,47,Female,Kanto,2
1900288,48,Male,Kyuusyuu,2
1900289,52,Female,Tohoku,3
1900290,42,Male,Hokkaido,3
1900291,44,Male,Kinki,1
1900292,44,Female,Kanto,1
1900293,45,Male,Kyuusyuu,5
1900294,45,Female,Hokkaido,1
1900295,46,Male,Kinki,7
1900296,52,Female,Kinki,6
1900297,54,Female,Kanto,2
1900298,28,Male,Kanto,1
1900299,32,Male,Kanto,1
1900300,38,Female,Shikoku,1
1900301,38,Female,Kyuusyuu,2
1900302,21,Male,Kanto,1
1900303,41,Male,Kyuusyuu,1
1900304,24,Male,Kanto,1
1900305,21,Male,Kinki,1
1900306,22,Male,Kanto,1
1900307,34,Female,Kyuusyuu,1
1900308,69,Female,Tyuugoku,1
1900309,28,Female,Kanto,1
1900310,27,Female,Kanto,1
1900311,47,Female,Hokkaido,1
1900312,24,Male,Kyuusyuu,1
1900313,33,Female,Tyuugoku,1
1900314,26,Male,Shikoku,2
1900315,32,Female,Tyubu,1
1900316,55,Male,Kyuusyuu,5
1900317,63,Female,Kinki,4
1900318,28,Female,Kanto,1
1900319,21,Female,Kinki,7
1900320,65,Female,Kinki,2
1900321,25,Female,Kyuusyuu,2
1900322,27,Female,Tohoku,2
1900323,28,Male,Kinki,1
1900324,49,Female,Kanto,1
1900325,46,Female,Tohoku,4
1900326,59,Female,Tyuugoku,3
1900327,26,Female,Tyubu,3
1900328,31,Female,Tyubu,1
1900329,47,Female,Kyuusyuu,1
1900330,25,Female,Tyuugoku,1
1900331,24,Female,Hokkaido,1
1900332,33,Female,Tyubu,1
1900333,39,Male,Kyuusyuu,1
1900334,36,Female,Shikoku,2
1900335,51,Female,Tyuugoku,6
1900336,61,Female,Kyuusyuu,2
1900337,28,Male,Kinki,5
1900338,37,Male,Kyuusyuu,1
1900339,35,Female,Hokkaido,2
1900340,31,Female,Kinki,1
1900341,39,Male,Kanto,1
1900342,48,Female,Kanto,1
1900343,46,Male,Kyuusyuu,1
1900344,66,Female,Tohoku,5
1900345,25,Male,Kyuusyuu,1
1900346,28,Male,Tohoku,1
1900347,36,Female,Tohoku,3
1900348,39,Female,Shikoku,1
1900349,46,Male,Kanto,1
1900350,24,Female,Tyuugoku,2
1900351,57,Male,Kinki,3
1900352,68,Female,Kanto,2
1900353,33,Female,Kyuusyuu,1
1900354,45,Male,Tyubu,7
1900355,61,Male,Tohoku,3
1900356,27,Female,Kinki,2
1900357,21,Female,Tyuugoku,1
1900358,31,Female,Tyuugoku,2
1900359,37,Female,Tohoku,1
1900360,56,Male,Kinki,3
1900361,24,Female,Kyuusyuu,1
1900362,33,Female,Tyuugoku,1
1900363,32,Male,Tohoku,1
1900364,42,Female,Kanto,1
1900365,58,Female,Kanto,2
1900366,22,Female,Tyubu,3
1900367,23,Male,Hokkaido,4
1900368,32,Male,Kyuusyuu,1
1900369,32,Female,Kanto,2
1900370,38,Female,Kyuusyuu,1
1900371,42,Female,Kanto,2
1900372,41,Male,Kinki,2
1900373,49,Male,Hokkaido,3
1900374,24,Male,Kyuusyuu,2
1900375,43,Male,Hokkaido,1
1900376,43,Male,Kyuusyuu,1
1900377,24,Male,Kanto,1
1900378,23,Male,Kanto,2
1900379,22,Female,Kyuusyuu,2
1900380,37,Female,Tyubu,2
1900381,34,Female,Kanto,2
1900382,35,Female,Hokkaido,1
1900383,38,Male,Tyuugoku,1
1900384,43,Female,Kanto,2
1900385,46,Male,Kyuusyuu,1
1900386,36,Male,Hokkaido,1
1900387,42,Female,Shikoku,4
1900388,57,Male,Kyuusyuu,1
1900389,21,Male,Tyuugoku,1
1900390,23,Female,Hokkaido,1
1900391,27,Female,Tohoku,5
1900392,37,Male,Tohoku,1
1900393,62,Female,Kyuusyuu,3
1900394,25,Female,Tohoku,3
1900395,35,Female,Kanto,2
1900396,32,Female,Kanto,6
1900397,23,Female,Hokkaido,2
1900398,28,Female,Kyuusyuu,1
1900399,28,Male,Hokkaido,1
1900400,34,Female,Shikoku,1
1900401,58,Female,Kanto,1
1900402,66,Female,Kanto,2
1900403,32,Male,Tohoku,2
1900404,32,Female,Tohoku,1
1900405,46,Male,Kyuusyuu,1
1900406,49,Female,Hokkaido,1
1900407,29,Female,Tohoku,1
1900408,27,Female,Kinki,1
1900409,38,Male,Kanto,2
1900410,55,Female,Kanto,1
1900411,26,Male,Kanto,1
1900412,24,Female,Tyubu,1
1900413,36,Female,Kyuusyuu,2
1900414,58,Female,Kanto,2
1900415,66,Female,Kyuusyuu,2
1900416,28,Female,Hokkaido,5
1900417,36,Female,Tyubu,1
1900418,38,Female,Hokkaido,1
1900419,33,Male,Kanto,4
1900420,45,Female,Kanto,1
1900421,43,Male,Kyuusyuu,2
1900422,23,Female,Tohoku,1
1900423,24,Male,Kinki,1
1900424,23,Male,Tohoku,1
1900425,25,Female,Kyuusyuu,3
1900426,33,Male,Hokkaido,2
1900427,45,Male,Kanto,7
1900428,31,Male,Kinki,1
1900429,31,Female,Hokkaido,1
1900430,59,Male,Tyuugoku,4
1900431,27,Female,Kinki,1
1900432,22,Female,Hokkaido,2
1900433,35,Male,Kanto,1
1900434,55,Female,Kyuusyuu,4
1900435,25,Male,Tohoku,1
1900436,33,Female,Kyuusyuu,1
1900437,33,Female,Kanto,1
1900438,38,Female,Tyubu,1
1900439,43,Male,Tohoku,1
1900440,39,Female,Kyuusyuu,1
1900441,27,Male,Kinki,1
1900442,28,Female,Tohoku,1
1900443,32,Female,Kanto,1
1900444,34,Male,Kanto,2
1900445,31,Male,Tyuugoku,1
1900446,31,Female,Kyuusyuu,1
1900447,31,Female,Tyuugoku,2
1900448,62,Female,Kanto,2
1900449,27,Female,Kyuusyuu,2
1900450,38,Female,Kinki,1
1900451,47,Female,Tohoku,2
1900452,28,Female,Kanto,1
1900453,25,Female,Kyuusyuu,1
1900454,31,Male,Kanto,1
1900455,35,Female,Kyuusyuu,2
1900456,29,Female,Tohoku,1
1900457,21,Female,Hokkaido,1
1900458,31,Male,Kinki,3
1900459,29,Female,Kanto,1
1900460,23,Female,Kanto,2
1900461,26,Female,Kanto,1
1900462,39,Female,Kinki,1
1900463,36,Male,Hokkaido,1
1900464,31,Female,Kanto,1
1900465,64,Female,Kinki,1
1900466,35,Female,Hokkaido,1
1900467,36,Female,Tyuugoku,1
1900468,22,Female,Kanto,1
1900469,27,Male,Kyuusyuu,2
1900470,31,Female,Kyuusyuu,1
1900471,68,Female,Kyuusyuu,4
1900472,66,Female,Kanto,1
1900473,24,Female,Kanto,1
1900474,21,Male,Tohoku,1
1900475,63,Male,Kanto,1
1900476,23,Female,Kanto,2
1900477,33,Male,Tyuugoku,1
1900478,33,Female,Tohoku,1
1900479,54,Female,Shikoku,2
1900480,32,Male,Tohoku,2
1900481,26,Male,Kyuusyuu,1
1900482,37,Female,Kinki,2
1900483,32,Female,Kyuusyuu,2
1900484,26,Female,Kinki,1
1900485,22,Female,Hokkaido,3
1900486,35,Female,Shikoku,1
1900487,37,Male,Kyuusyuu,2
1900488,54,Female,Shikoku,6
1900489,35,Male,Kinki,1
1900490,55,Female,Kyuusyuu,1
1900491,28,Female,Kanto,1
1900492,26,Female,Tohoku,1
1900493,28,Female,Kanto,1
1900494,32,Female,Kyuusyuu,1
1900495,47,Male,Kyuusyuu,2
1900496,35,Female,Tohoku,2
1900497,24,Female,Kyuusyuu,3
1900498,34,Male,Tohoku,1
1900499,32,Male,Kanto,1
1900500,47,Female,Kinki,2
1900501,25,Female,Kinki,1
1900502,25,Female,Tohoku,1
1900503,33,Male,Hokkaido,2
1900504,35,Female,Kinki,1
1900505,48,Male,Kanto,1
1900506,53,Female,Shikoku,2
1900507,24,Female,Kanto,1
1900508,49,Female,Kyuusyuu,2
1900509,29,Male,Tyubu,1
1900510,38,Female,Hokkaido,1
1900511,23,Male,Tohoku,1
1900512,23,Female,Kanto,1
1900513,35,Female,Kinki,1
1900514,39,Male,Kinki,1
1900515,35,Male,Tohoku,1
1900516,65,Female,Tohoku,1
1900517,44,Female,Kanto,2
1900518,53,Female,Tyuugoku,5
1900519,24,Female,Kyuusyuu,1
1900520,26,Female,Hokkaido,8
1900521,34,Male,Tyuugoku,1
1900522,39,Female,Tyubu,4
1900523,23,Female,Hokkaido,1
1900524,29,Female,Kanto,1
1900525,28,Male,Shikoku,1
1900526,29,Female,Kanto,3
1900527,49,Male,Kyuusyuu,4
1900528,37,Male,Kinki,1
1900529,48,Female,Kanto,1
1900530,58,Female,Kanto,2
1900531,36,Female,Tyuugoku,1
1900532,33,Female,Kinki,1
1900533,39,Female,Kinki,2
1900534,31,Female,Tyuugoku,1
1900535,53,Female,Kanto,2
1900536,61,Female,Kinki,3
1900537,35,Female,Tohoku,1
1900538,23,Male,Tohoku,1
1900539,24,Male,Kyuusyuu,3
1900540,31,Female,Hokkaido,1
1900541,35,Male,Tohoku,1
1900542,44,Female,Hokkaido,5
1900543,43,Male,Kinki,2
1900544,29,Female,Kanto,1
1900545,21,Male,Kanto,1
1900546,32,Male,Kyuusyuu,2
1900547,46,Female,Tohoku,2
1900548,22,Female,Tyuugoku,1
1900549,23,Female,Kinki,1
1900550,38,Male,Kinki,3
1900551,39,Female,Kyuusyuu,1
1900552,41,Male,Hokkaido,3
1900553,43,Male,Kinki,7
1900554,51,Female,Kyuusyuu,2
1900555,69,Female,Kanto,5
1900556,26,Female,Kanto,1
1900557,31,Female,Tohoku,1
1900558,26,Female,Tohoku,1
1900559,38,Female,Hokkaido,2
1900560,39,Female,Shikoku,1
1900561,31,Male,Kanto,2
1900562,58,Male,Kanto,1
1900563,32,Male,Kanto,1
1900564,58,Female,Kanto,1
1900565,26,Female,Kyuusyuu,2
1900566,22,Female,Kanto,1
1900567,36,Female,Shikoku,2
1900568,34,Male,Tohoku,1
1900569,31,Female,Kanto,2
1900570,63,Female,Kinki,3
1900571,37,Female,Kyuusyuu,2
1900572,43,Female,Tyuugoku,3
1900573,26,Male,Kyuusyuu,1
1900574,26,Female,Kyuusyuu,2
1900575,34,Male,Hokkaido,1
1900576,59,Male,Kinki,2
1900577,22,Female,Tyuugoku,5
1900578,24,Male,Kanto,1
1900579,53,Female,Shikoku,3
1900580,56,Female,Tohoku,2
1900581,29,Female,Kanto,2
1900582,55,Female,Kanto,1
1900583,67,Female,Kanto,2
1900584,23,Female,Tohoku,1
1900585,54,Female,Kinki,1
1900586,38,Female,Kinki,1
1900587,21,Female,Kanto,2
1900588,27,Female,Kyuusyuu,1
1900589,36,Male,Tyubu,1
1900590,24,Female,Kyuusyuu,3
1900591,28,Male,Kyuusyuu,4
1900592,38,Female,Tyubu,2
1900593,35,Male,Kyuusyuu,2
1900594,32,Male,Shikoku,2
1900595,39,Female,Kyuusyuu,1
1900596,63,Female,Kyuusyuu,1
1900597,27,Male,Tyuugoku,1
1900598,22,Female,Kinki,2
1900599,28,Female,Kyuusyuu,1
1900600,32,Male,Shikoku,1
1900601,47,Female,Kyuusyuu,1
1900602,31,Male,Kanto,1
1900603,34,Male,Kyuusyuu,2
1900604,35,Female,Kanto,1
1900605,61,Female,Hokkaido,3
1900606,23,Female,Kyuusyuu,1
1900607,31,Female,Kyuusyuu,2
1900608,31,Male,Tyubu,1
1900609,36,Female,Kanto,2
1900610,43,Female,Kinki,1
1900611,25,Female,Kanto,2
1900612,23,Male,Kanto,2
1900613,38,Female,Shikoku,2
1900614,58,Female,Tyubu,1
1900615,59,Male,Kyuusyuu,3
1900616,53,Female,Kanto,2
1900617,61,Male,Kanto,1
1900618,26,Female,Tyubu,1
1900619,22,Female,Kinki,1
1900620,23,Female,Tyuugoku,1
1900621,39,Female,Tyuugoku,1
1900622,58,Female,Shikoku,1
1900623,29,Male,Hokkaido,1
1900624,33,Female,Tohoku,1
1900625,46,Male,Kanto,1
1900626,47,Male,Tyubu,1
1900627,48,Female,Tohoku,1
1900628,27,Male,Shikoku,1
1900629,34,Female,Kyuusyuu,2
1900630,39,Female,Tyubu,2
1900631,63,Male,Kyuusyuu,1
1900632,27,Female,Hokkaido,1
1900633,29,Male,Kanto,3
1900634,29,Female,Tyubu,1
1900635,24,Female,Kanto,3
1900636,37,Female,Kyuusyuu,1
1900637,42,Male,Shikoku,2
1900638,43,Female,Kyuusyuu,1
1900639,22,Female,Kanto,2
1900640,22,Female,Kyuusyuu,1
1900641,29,Female,Kinki,2
1900642,62,Female,Kanto,2
1900643,25,Female,Kanto,1
1900644,26,Female,Kinki,1
1900645,28,Female,Shikoku,3
1900646,35,Male,Kyuusyuu,1
1900647,58,Female,Hokkaido,2
1900648,29,Female,Tohoku,1
1900649,21,Male,Hokkaido,1
1900650,53,Female,Kanto,4
1900651,69,Female,Tyuugoku,1
1900652,25,Female,Kinki,2
1900653,39,Female,Kinki,2
1900654,34,Female,Kinki,1
1900655,44,Male,Kinki,1
1900656,61,Female,Kanto,3
1900657,39,Female,Kanto,1
1900658,38,Female,Tyubu,2
1900659,28,Female,Kanto,1
1900660,29,Female,Kanto,1
1900661,21,Female,Kanto,1
1900662,24,Female,Kanto,1
1900663,35,Female,Kinki,1
1900664,26,Female,Kinki,2
1900665,37,Female,Kyuusyuu,1
1900666,39,Male,Kanto,1
1900667,28,Female,Kanto,1
1900668,24,Female,Kyuusyuu,1
1900669,68,Male,Tohoku,2
1900670,23,Male,Tyuugoku,5
1900671,31,Female,Kanto,1
1900672,37,Female,Tyuugoku,2
1900673,43,Female,Hokkaido,1
1900674,53,Female,Hokkaido,1
1900675,69,Female,Kanto,5
1900676,24,Female,Hokkaido,1
1900677,48,Female,Hokkaido,1
1900678,26,Female,Kyuusyuu,1
1900679,39,Female,Kanto,2
1900680,37,Female,Kyuusyuu,1
1900681,38,Female,Hokkaido,1
1900682,49,Female,Kanto,1
1900683,54,Female,Hokkaido,2
1900684,27,Female,Kinki,1
1900685,32,Female,Tohoku,1
1900686,24,Male,Hokkaido,8
1900687,38,Female,Kanto,3
1900688,22,Female,Kanto,2
1900689,22,Female,Shikoku,2
1900690,56,Male,Tyuugoku,1
1900691,28,Female,Hokkaido,2
1900692,35,Female,Kyuusyuu,1
1900693,38,Male,Tohoku,2
1900694,25,Female,Hokkaido,2
1900695,29,Female,Kyuusyuu,1
1900696,22,Female,Kyuusyuu,3
1900697,29,Female,Tyubu,1
1900698,38,Male,Kanto,1
1900699,41,Male,Tohoku,4
1900700,56,Female,Kyuusyuu,1
1900701,29,Female,Kinki,1
1900702,39,Male,Hokkaido,1
1900703,21,Female,Kanto,1
1900704,21,Female,Kanto,2
1900705,21,Male,Tohoku,1
1900706,22,Male,Kanto,5
1900707,27,Female,Kanto,1
1900708,29,Female,Tyubu,7
1900709,21,Female,Kyuusyuu,1
1900710,54,Female,Kanto,2
1900711,25,Male,Shikoku,1
1900712,27,Female,Shikoku,1
1900713,26,Female,Shikoku,1
1900714,39,Male,Hokkaido,1
1900715,34,Male,Tohoku,8
1900716,54,Female,Kyuusyuu,3
1900717,35,Female,Kanto,2
1900718,34,Female,Kyuusyuu,2
1900719,47,Male,Tyuugoku,4
1900720,63,Female,Tohoku,1
1900721,65,Male,Kanto,1
1900722,34,Female,Kanto,1
1900723,39,Female,Kanto,1
1900724,34,Female,Kanto,1
1900725,32,Female,Shikoku,1
1900726,29,Female,Kyuusyuu,1
1900727,24,Female,Kyuusyuu,1
1900728,23,Male,Kanto,1
1900729,22,Female,Tyubu,1
1900730,47,Female,Kyuusyuu,1
1900731,22,Female,Tohoku,1
1900732,21,Female,Kinki,1
1900733,24,Female,Kanto,1
1900734,45,Female,Tyuugoku,2
1900735,28,Female,Kyuusyuu,2
1900736,67,Female,Kyuusyuu,2
1900737,27,Female,Kyuusyuu,1
1900738,22,Female,Kyuusyuu,1
1900739,38,Female,Kanto,1
1900740,32,Female,Tyubu,1
1900741,31,Female,Kinki,2
1900742,25,Female,Tohoku,1
1900743,48,Female,Kanto,5
1900744,42,Female,Hokkaido,1
1900745,25,Male,Kanto,1
1900746,25,Male,Kyuusyuu,5
1900747,35,Male,Kinki,1
1900748,47,Female,Kanto,3
1900749,54,Female,Tyubu,3
1900750,66,Female,Hokkaido,3
1900751,23,Male,Tohoku,1
1900752,23,Female,Kanto,5
1900753,21,Female,Kanto,1
1900754,26,Female,Kanto,1
1900755,22,Male,Kanto,1
1900756,37,Female,Tohoku,1
1900757,49,Female,Kanto,4
1900758,29,Female,Tyuugoku,3
1900759,36,Male,Kyuusyuu,1
1900760,22,Female,Kyuusyuu,4
1900761,31,Female,Hokkaido,1
1900762,22,Female,Kyuusyuu,2
1900763,26,Female,Tyubu,1
1900764,27,Female,Kanto,1
1900765,68,Male,Hokkaido,1
1900766,24,Female,Kanto,2
1900767,21,Female,Kanto,1
1900768,36,Female,Tyuugoku,2
1900769,43,Female,Kinki,2
1900770,25,Male,Tyuugoku,1
1900771,24,Female,Kinki,2
1900772,28,Male,Kanto,1
1900773,23,Female,Tohoku,1
1900774,26,Female,Kanto,1
1900775,27,Male,Kinki,3
1900776,33,Female,Shikoku,1
1900777,34,Female,Kinki,1
1900778,21,Female,Kanto,1
1900779,68,Female,Tohoku,2
1900780,25,Female,Tyubu,1
1900781,36,Male,Kanto,1
1900782,34,Female,Kinki,1
1900783,45,Male,Tyuugoku,2
1900784,41,Male,Kinki,2
1900785,59,Female,Kanto,1
1900786,28,Male,Shikoku,2
1900787,22,Female,Tohoku,3
1900788,38,Female,Shikoku,1
1900789,58,Male,Hokkaido,2
1900790,43,Male,Kyuusyuu,2
1900791,22,Female,Kyuusyuu,1
1900792,42,Male,Shikoku,5
1900793,28,Male,Kanto,1
1900794,38,Female,Kyuusyuu,1
1900795,36,Male,Tohoku,2
1900796,31,Male,Kanto,2
1900797,68,Male,Shikoku,1
1900798,38,Male,Kyuusyuu,2
1900799,35,Male,Kanto,2
1900800,38,Male,Kanto,1
1900801,48,Female,Kanto,1
1900802,29,Male,Tyubu,1
